# %ECSV 0.9
# ---
# datatype:
# -
#   name: id
#   datatype: string
# -
#   name: morph
#   datatype: string
# -
#   name: sigma_e
#   datatype: float32
# -
#   name: mdyn
#   datatype: float32
# -
#   name: col5
#   datatype: float32
# -
#   name: col6
#   datatype: float32
# -
#   name: col7_1
#   datatype: float32
# -
#   name: col8
#   datatype: float32
# -
#   name: col9_1
#   datatype: float32
# -
#   name: col10
#   datatype: float32
# -
#   name: col11_1
#   datatype: float32
# -
#   name: mangaid
#   datatype: string
# -
#   name: mstar_cat
#   datatype: string
# -
#   name: sfr_cat
#   datatype: string
# -
#   name: metallicity
#   datatype: string
# -
#   name: b/a
#   datatype: string
# -
#   name: met_re
#   datatype: string
# -
#   name: col7_2
#   datatype: string
# -
#   name: mstar_sum_re
#   datatype: string
# -
#   name: col9_2
#   datatype: string
# -
#   name: sfr_sum_re
#   datatype: string
# -
#   name: col11_2
#   datatype: string
# -
#   name: col12
#   datatype: string
# -
#   name: col13
#   datatype: string
# -
#   name: col14
#   datatype: string
# -
#   name: col15
#   datatype: string
# -
#   name: col16
#   datatype: string
# -
#   name: col17
#   datatype: string
# -
#   name: col18
#   datatype: string
# meta:
#   Description: 
#   |
#    #########################################################################################################################################
#     This is the online data table for the paper Li et. al (2018)
#     "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#    
#     Table title: Properties of all the galaxies in the sample of Li et al. (2018)
#    #########################################################################################################################################
#      MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#                |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#         (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
#    #########################################################################################################################################
#   Match type: 'Pair match; Best match, symmetric'
#   Match algorithm: Exact Value
#   Join Type: 1 and 2 (An output row for each row represented in both input tables (INNER JOIN))
#   First input table: '6: Table-data.dat'
#   Second input table: '5: full_manga.dat'
id morph sigma_e mdyn col5 col6 col7_1 col8 col9_1 col10 col11_1 mangaid mstar_cat sfr_cat metallicity b/a met_re col7_2 mstar_sum_re col9_2 sfr_sum_re col11_2 col12 col13 col14 col15 col16 col17 col18
12-192120 S 2.15 10.84 0.89 9.85 0.05 0.68 -0.16 -0.15 -0.16 12-192120 10.795693397521973 -0.4391557276248932 8.73779219219219 0.205749 8.738329320311301 10.765785338986005 10.711777734852198 -0.48625651437299183 -0.9804857020968649 0.1387591688303792 0.10170461231093028 10.57148460876072 10.517477004626913 nan nan 9.672515869140625 9.881440162658691
12-129646 S 1.94 10.69 0.98 9.35 -0.48 0.39 -0.33 -0.15 -0.17 12-129646 10.551702499389648 0.19352930784225464 8.709703821468526 0.508217 8.77581933284636 10.431430903380166 10.28543304828433 -0.46320077210973587 -0.1950058736747488 1.148075442446358 0.8830432927075079 10.085455271088277 9.939457415992441 8.806431431431431 8.789239239239238 9.130855560302734 9.88578987121582
12-129601 E 2.19 10.64 0.51 9.83 0.1 0.72 -0.04 -0.16 -0.13 12-129601 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 10.273497522011322 10.120691380883992 -9999.0 -9999.0 -9999.0 -9999.0 10.218775507541988 10.065969366414658 -9999.0 -9999.0 -9999.0 -9999.0
12-129609 E 1.97 10.29 0.59 9.57 0.04 0.47 0.0 -0.38 -0.07 12-129609 10.256311416625977 -1.2524422407150269 8.730930930930931 0.508217 8.730930930930931 10.159482683268108 10.013061568921444 -0.6177354695901348 -3.414646414751719 -2.331014601584381 -2.331014601584381 9.950174499985717 9.803753385639054 nan nan 9.690319061279297 9.899312973022461
1-113520 E 1.8 9.64 0.19 9.72 -0.06 0.52 0.1 -0.23 0.02 1-113520 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.778543980418469 9.597247315234108 -9999.0 -9999.0 -9999.0 -9999.0 9.612976765330433 9.431680100146073 -9999.0 -9999.0 -9999.0 -9999.0
1-113521 S 2.0 10.86 1.07 9.19 -0.36 0.28 -0.32 -0.42 -0.27 1-113521 11.014400482177734 1.216529369354248 8.71064695819739 0.335333 8.763163163163162 10.988733785040663 10.805360186022563 -0.8646022692934068 0.8874267638376567 2.191038417863111 1.8843501102989055 10.94111207104763 10.75773847202953 nan 8.733383383383384 8.83302116394043 9.434627532958984
1-113540 S 1.89 10.03 0.5 9.25 -0.53 0.46 0.09 -0.31 0.14 1-113540 10.465009689331055 0.4281231760978699 8.760551240896069 0.335333 8.792338588588589 10.348533511024153 10.145106674720962 0.19699286716450964 0.19814336678389144 1.4099560378950573 1.266297984997951 10.279496288692771 10.07606945238958 8.822022022022022 8.821671671671671 9.092306137084961 9.988893508911133
1-113525 S 1.49 9.2 0.51 9.65 -0.18 0.49 0.19 -0.3 0.15 1-113525 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 8.083288021459731 8.083288021459731 -9999.0 -9999.0 -9999.0 -9999.0 7.922705728505905 7.922705728505905 -9999.0 -9999.0 -9999.0 -9999.0
1-113375 S 1.84 10.31 0.85 9.3 -0.72 0.33 -0.39 -0.02 -0.34 1-113375 10.211554527282715 -0.1333465427160263 8.705071582485914 0.205749 8.747720797720797 10.018667792177894 9.848846713072646 -0.408810970950819 -0.4283283028000223 0.8551739016164313 0.6695839473968014 9.729775370328486 9.559954291223239 8.802402402402402 8.795325325325326 9.041291236877441 9.872756958007812
1-113418 S 2.11 10.88 0.99 9.54 -0.34 0.53 -0.25 -0.36 -0.16 1-113418 10.872027397155762 0.5800475478172302 8.755771585539026 0.205749 8.784114114114114 10.882426212966541 10.693743145921841 -3.0612641006003924 -1.214770748089627 0.6543561575624911 -0.21463444831562165 10.40122169495769 10.212538627912988 nan nan 9.419480323791504 9.95616626739502
